#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
-0.0002    -0.0015    -0.0005    3309.6847    174.1939    1979.533    131.9689    1330.1518    1330.1518
-0.0004    -0.003    0.0    3324.7435    174.9865    1766.608    117.7739    1558.1355    1558.1355
-0.0006    -0.003    0.0    3335.9116    175.5743    1797.2764    119.8184    1538.6352    1538.6352
-0.0    -0.0005    -0.001    3375.2528    177.6449    1855.3521    123.6901    1519.9007    1519.9007
-0.0002    -0.003    0.0    3390.0718    178.4248    1797.9765    119.8651    1592.0954    1592.0954
0.0006    -0.0035    0.0005    3412.1265    179.5856    1873.7524    124.9168    1538.3741    1538.3741
-0.0008    -0.003    0.0    3423.576    180.1882    1889.9815    125.9988    1533.5945    1533.5945
0.0008    -0.0035    0.0005    3433.3591    180.7031    2002.0483    133.4699    1431.3108    1431.3108
-0.0002    -0.0025    0.0    3436.7096    180.8795    1893.3205    126.2214    1543.3891    1543.3891
0.0004    -0.0035    0.0005    3467.3903    182.4942    1807.4934    120.4996    1659.8968    1659.8968
-0.0004    -0.002    -0.0005    3483.245    183.3287    1495.0247    99.6683    1988.2203    1988.2203
0.0006    -0.001    -0.0005    3499.3933    184.1786    2060.5719    137.3715    1438.8213    1438.8213
-0.0006    -0.002    -0.0005    3511.4396    184.8126    1613.8168    107.5878    1897.6228    1897.6228
0.0008    -0.002    0.0    3523.6259    185.454    1619.7264    107.9818    1903.8995    1903.8995
0.001    -0.0035    0.0005    3531.0881    185.8467    2192.3809    146.1587    1338.7071    1338.7071
-0.0002    -0.002    -0.0005    3531.5468    185.8709    1438.2694    95.8846    2093.2774    2093.2774
-0.0    -0.003    0.0    3531.8965    185.8893    1891.3818    126.0921    1640.5148    1640.5148
0.0006    0.0    -0.001    3564.188    187.5888    2414.0384    160.9359    1150.1496    1150.1496
